code,secteur_code,libelle_en,libelle_fr,libelle_en_base,cle_appariement,ordre
non_automotive_transport_oem__all_other_transportation,non_automotive_transport_oem,All other transportation (Non-Automotive OEM),Autres matériels de transport (Constructeurs hors automobile),All other transportation,all other transportation,192
non_automotive_transport_oem__motorcycle_bicycle_and_parts,non_automotive_transport_oem,"Motorcycle, bicycle, & parts","Motocycles, bicyclettes et pièces détachées","Motorcycle, bicycle, & parts",motorcycle bicycle and parts,193
non_automotive_transport_oem__railroad_rolling_stock,non_automotive_transport_oem,Railroad rolling stock,Matériel roulant ferroviaire,Railroad rolling stock,railroad rolling stock,194
non_automotive_transport_oem__ships_and_boats,non_automotive_transport_oem,Ships & boats,Navires et bateaux,Ships & boats,ships and boats,195
paper_printing_and_packaging__converted_paper_products,paper_printing_and_packaging,Converted paper products,Produits transformés à base de papier,Converted paper products,converted paper products,196
paper_printing_and_packaging__other,paper_printing_and_packaging,"Other (Paper, printing & packaging)","Autres (Papier, imprimerie et emballage)",Other,other,197
paper_printing_and_packaging__printing_and_related_activities,paper_printing_and_packaging,Printing & related activities,Imprimerie et activités connexes,Printing & related activities,printing and related activities,198
paper_printing_and_packaging__pulp_paper_and_paperboard,paper_printing_and_packaging,"Pulp, paper, & paperboard","Pâte à papier, papier et carton","Pulp, paper, & paperboard",pulp paper and paperboard,199
pharmaceuticals__health_and_personal_care_retailers,pharmaceuticals,Health & personal care retailers,Commerce de détail de produits de santé et de soins personnels,Health & personal care retailers,health and personal care retailers,200
pharmaceuticals__medicinal_and_botanical,pharmaceuticals,Medicinal & botanical,Produits médicinaux et botaniques,Medicinal & botanical,medicinal and botanical,201
pharmaceuticals__other,pharmaceuticals,Other (Pharmaceuticals),Autres (Produits pharmaceutiques),Other,other,202
pharmaceuticals__pharmaceutical_preparations,pharmaceuticals,Pharmaceutical preparations,Préparations pharmaceutiques,Pharmaceutical preparations,pharmaceutical preparations,203
plastics__artificial_and_synthetic_fibres,plastics,Artificial & synthetic fibres,Fibres artificielles et synthétiques,Artificial & synthetic fibres,artificial and synthetic fibres,204
plastics__laminated_plastics_plates_sheets_and_sha,plastics,"Laminated plastics plates, sheets & shapes","Plaques, feuilles et profilés plastiques stratifiés","Laminated plastics plates, sheets & shapes",laminated plastics plates sheets and shapes,205
plastics__other_plastics_products,plastics,Other plastics products,Autres produits en plastique,Other plastics products,other plastics products,206
plastics__plastic_bottles,plastics,Plastic bottles,Bouteilles en plastique,Plastic bottles,plastic bottles,207
plastics__plastic_pipes_pipe_fitting_and_unlaminat,plastics,"Plastic pipes, pipe fitting & unlaminated profile shapes","Tuyaux, raccords et profilés plastiques non stratifiés","Plastic pipes, pipe fitting & unlaminated profile shapes",plastic pipes pipe fitting and unlaminated profile shapes,208
plastics__plastics_packaging_materials_and_unlamin,plastics,Plastics packaging materials & unlaminated film & sheets,Emballages plastiques et films et feuilles plastiques non stratifiés,Plastics packaging materials & unlaminated film & sheets,plastics packaging materials and unlaminated film and sheets,209
plastics__polystyrene_foam_products,plastics,Polystyrene foam products,Produits en mousse de polystyrène,Polystyrene foam products,polystyrene foam products,210
plastics__urethane_foam_products_and_other_compoun,plastics,"Urethane, foam products & other compounds","Uréthane, produits en mousse et autres composés","Urethane, foam products & other compounds",urethane foam products and other compounds,211
real_estate__commercial_and_institutional_building_co,real_estate,Commercial & institutional building construction,Construction de bâtiments commerciaux et institutionnels,Commercial & institutional building construction,commercial and institutional building construction,212
real_estate__industrial_building_construction,real_estate,Industrial building construction,Construction de bâtiments industriels,Industrial building construction,industrial building construction,213
real_estate__other,real_estate,Other (Real estate),Autres (Immobilier),Other,other,214
real_estate__real_estate_services,real_estate,Real estate services,Services immobiliers,Real estate services,real estate services,215
real_estate__rental_and_leasing_services,real_estate,Rental & leasing services,Services de location et de crédit-bail,Rental & leasing services,rental and leasing services,216
real_estate__residential_building_construction,real_estate,Residential building construction,Construction de bâtiments résidentiels,Residential building construction,residential building construction,217
renewable_energy__biomass_power,renewable_energy,Biomass power,Production d'électricité à partir de biomasse,Biomass power,biomass power,218
renewable_energy__geothermal_electric_power,renewable_energy,Geothermal electric power,Production d'électricité géothermique,Geothermal electric power,geothermal electric power,219
renewable_energy__hydroelectric_power,renewable_energy,Hydroelectric power,Production d'électricité hydroélectrique,Hydroelectric power,hydroelectric power,220
renewable_energy__marine_electric_power,renewable_energy,Marine electric power,Production d'électricité marine (houlomotrice et marémotrice),Marine electric power,marine electric power,221
renewable_energy__other_electric_power_generation,renewable_energy,Other electric power generation (Renewable Energy),Autres productions d'électricité (Énergies renouvelables),Other electric power generation,other electric power generation,222
renewable_energy__solar_electric_power,renewable_energy,Solar electric power,Production d'électricité solaire,Solar electric power,solar electric power,223
renewable_energy__wind_electric_power,renewable_energy,Wind electric power,Production d'électricité éolienne,Wind electric power,wind electric power,224
rubber__other_rubber_products,rubber,Other rubber products,Autres produits en caoutchouc,Other rubber products,other rubber products,225
rubber__rubber_hoses_and_belting,rubber,Rubber hoses & belting,Tuyaux et courroies en caoutchouc,Rubber hoses & belting,rubber hoses and belting,226
rubber__tyres,rubber,Tyres,Pneumatiques,Tyres,tyres,227
semiconductors__other,semiconductors,Other (Semiconductors),Autres (Semi-conducteurs),Other,other,228
semiconductors__semiconductors_and_other_electronic_comp,semiconductors,Semiconductors & other electronic components,Semi-conducteurs et autres composants électroniques,Semiconductors & other electronic components,semiconductors and other electronic components,229
software_and_it_services__all_other_information_services,software_and_it_services,All other information services,Autres services d'information,All other information services,all other information services,230
software_and_it_services__computer_facilities_management_services,software_and_it_services,Computer facilities management services,Services de gestion d'infrastructures informatiques,Computer facilities management services,computer facilities management services,231
software_and_it_services__computer_systems_design_services,software_and_it_services,Computer systems design services,Services de conception de systèmes informatiques,Computer systems design services,computer systems design services,232
software_and_it_services__custom_computer_programming_services,software_and_it_services,Custom computer programming services,Programmation informatique sur mesure,Custom computer programming services,custom computer programming services,233
software_and_it_services__internet_publishing_and_broadcasting_and,software_and_it_services,Internet publishing & broadcasting & web search,Édition et diffusion sur Internet et moteurs de recherche,Internet publishing & broadcasting & web search,internet publishing and broadcasting and web search,234
software_and_it_services__other,software_and_it_services,Other (Software & IT services),Autres (Logiciels et services informatiques),Other,other,235
software_and_it_services__other_computer_related_services,software_and_it_services,Other computer related services,Autres services liés à l'informatique,Other computer related services,other computer related services,236
software_and_it_services__software_publishers_except_video_games,software_and_it_services,"Software publishers, except video games","Éditeurs de logiciels, hors jeux vidéo","Software publishers, except video games",software publishers except video games,237
software_and_it_services__video_games_applications_and_digital_con,software_and_it_services,"Video games, applications and digital content","Jeux vidéo, applications et contenus numériques","Video games, applications and digital content",video games applications and digital content,238
space_and_defence__guided_missile_and_space_vehicles,space_and_defence,Guided missile & space vehicles,Missiles guidés et véhicules spatiaux,Guided missile & space vehicles,guided missile and space vehicles,239
space_and_defence__military_armoured_vehicle_tank_and_compo,space_and_defence,"Military armoured vehicle, tank, & components","Véhicules blindés militaires, chars et composants","Military armoured vehicle, tank, & components",military armoured vehicle tank and components,240
space_and_defence__other,space_and_defence,Other (Space & defence),Autres (Spatial et défense),Other,other,241
textiles__apparel_accessories_and_other_apparel,textiles,Apparel accessories & other apparel,Accessoires vestimentaires et autres vêtements,Apparel accessories & other apparel,apparel accessories and other apparel,242
textiles__apparel_knitting,textiles,Apparel knitting,Bonneterie,Apparel knitting,apparel knitting,243
textiles__clothing_and_clothing_accessories_retail,textiles,Clothing & clothing accessories retailers,Commerce de détail de vêtements et d'accessoires vestimentaires,Clothing & clothing accessories retailers,clothing and clothing accessories retailers,244
textiles__cut_and_sew_apparel,textiles,Cut & sew apparel,Vêtements coupés-cousus,Cut & sew apparel,cut and sew apparel,245
textiles__footwear,textiles,Footwear,Chaussures,Footwear,footwear,246
textiles__furniture_and_related_products,textiles,Furniture & related products (Textiles),Meubles et produits connexes (Textiles),Furniture & related products,furniture and related products,247
textiles__leather_and_hide_tanning_and_finishing,textiles,Leather & hide tanning and finishing,Tannage et finition du cuir et des peaux,Leather & hide tanning and finishing,leather and hide tanning and finishing,248
textiles__other,textiles,Other (Textiles),Autres (Textiles),Other,other,249
textiles__other_leather_and_allied_products,textiles,Other leather & allied products,Autres produits en cuir et connexes,Other leather & allied products,other leather and allied products,250
textiles__textile_product_mills,textiles,Textile product mills,Fabrication d'articles textiles,Textile product mills,textile product mills,251
transportation_and_warehousing__air_transportation,transportation_and_warehousing,Air transportation,Transport aérien,Air transportation,air transportation,252
transportation_and_warehousing__couriers_and_messengers,transportation_and_warehousing,Couriers & messengers,Messagerie et coursiers,Couriers & messengers,couriers and messengers,253
transportation_and_warehousing__freight_distribution_services,transportation_and_warehousing,Freight/Distribution Services,Services de fret et de distribution,Freight/Distribution Services,freight distribution services,254
transportation_and_warehousing__other,transportation_and_warehousing,Other (Transportation & Warehousing),Autres (Transport et entreposage),Other,other,255
transportation_and_warehousing__other_pipeline_transportation,transportation_and_warehousing,Other pipeline transportation,Autres transports par canalisations,Other pipeline transportation,other pipeline transportation,256
transportation_and_warehousing__petroleum_bulk_stations_and_terminals,transportation_and_warehousing,Petroleum bulk stations & terminals,Dépôts et terminaux pétroliers,Petroleum bulk stations & terminals,petroleum bulk stations and terminals,257
transportation_and_warehousing__pipeline_transportation_of_crude_oil,transportation_and_warehousing,Pipeline transportation of crude oil,Transport de pétrole brut par oléoduc,Pipeline transportation of crude oil,pipeline transportation of crude oil,258
transportation_and_warehousing__pipeline_transportation_of_natural_gas,transportation_and_warehousing,Pipeline transportation of natural gas,Transport de gaz naturel par gazoduc,Pipeline transportation of natural gas,pipeline transportation of natural gas,259
transportation_and_warehousing__postal_service,transportation_and_warehousing,Postal service,Services postaux,Postal service,postal service,260
transportation_and_warehousing__rail_transportation,transportation_and_warehousing,Rail transportation,Transport ferroviaire,Rail transportation,rail transportation,261
transportation_and_warehousing__support_activities_for_transportation,transportation_and_warehousing,Support activities for transportation,Activités de soutien au transport,Support activities for transportation,support activities for transportation,262
transportation_and_warehousing__transit_and_ground_passenger_transportat,transportation_and_warehousing,Transit & ground passenger transportation,Transport terrestre et transport en commun de voyageurs,Transit & ground passenger transportation,transit and ground passenger transportation,263
transportation_and_warehousing__truck_transportation,transportation_and_warehousing,Truck transportation,Transport routier de marchandises,Truck transportation,truck transportation,264
transportation_and_warehousing__warehousing_and_storage,transportation_and_warehousing,Warehousing & storage,Entreposage et stockage,Warehousing & storage,warehousing and storage,265
transportation_and_warehousing__water_transportation,transportation_and_warehousing,Water transportation,Transport par voie d'eau,Water transportation,water transportation,266
wood_products__forestry_and_logging,wood_products,Forestry & logging,Sylviculture et exploitation forestière,Forestry & logging,forestry and logging,267
wood_products__furniture_and_related_products,wood_products,Furniture & related products (Wood Products),Meubles et produits connexes (Produits du bois),Furniture & related products,furniture and related products,268
wood_products__other,wood_products,Other (Wood products),Autres (Produits du bois),Other,other,269
wood_products__wood_products,wood_products,Wood products,Produits du bois,Wood products,wood products,270
